Transcript,Half_Life
YBR254C,0.2888126110997168
YOR115C,0.2127156446122509
YML077W,0.13559606067042293
YGR166W,0.13690624801232848
YDR246W,0.21236725566645387
YMR218C,0.13585084715412357
YDR108W,0.13621441855528627
YDR407C,0.13670315798236252
YLR025W,0.13567749578935234
YPR173C,0.13605376950366216
YKL041W,0.13701170916686883
YLR148W,0.13562741086565558
YPL045W,0.1354958589946344
YLR396C,0.1360249150724593
YMR231W,0.13660031104026768
YJR065C,0.13606283188084467
YIL062C,0.13600448732437842
YLR370C,0.1356421656139964
YKL013C,0.13646425767115977
YNR035C,0.1350886279592633
YGR238C,0.13560797752403272
YHR158C,0.13571809044203245
YGR140W,0.1369164677923484
YMR094W,0.17683517111645414
YMR168C,0.21273885529845
YKL049C,0.13573516704610156
YKL089W,0.13532739547054393
YBR115C,0.13775552732475563
YGL154C,0.21239247531323213
YGR082W,0.13630632968040152
YNL131W,0.1375836784209763
YNL070W,0.1372992561015331
YOR045W,0.21284344140204436
YMR203W,0.1360507504731579
YNL121C,0.13539114896902915
YMR060C,0.2888126110997168
YHR117W,0.13616353961641053
YAL009W,0.13588275836705185
YHR004C,1.2331819943545483
YMR080C,0.21250730833753606
YGR072W,0.2121101653314041
YHR077C,0.1358448605910905
YLR335W,0.13744056292799273
YBL079W,0.1353141980804654
YIL115C,0.13546724148351874
YML103C,0.21352394969965788
YDR192C,0.13826039736816792
YMR129W,0.2137045430754861
YKR082W,0.1374222570934332
YOR098C,0.13639411030814647
YER105C,0.1354154114728195
YMR047C,0.13616900332501336
YKL068W,0.21302451010835688
YER107C,0.2888126110997168
YGR119C,0.2127083607476376
YGL172W,0.13595950125138967
YJL061W,0.13555598830448373
YGL092W,0.13549427540866715
YGL100W,0.1361375949126344
YKL057C,0.0998130069078554
YJR042W,0.1369137896551438
YDL116W,0.21290158503710338
YDR224C,0.136522858608971
YBR010W,0.13640475821511044
YNL030W,0.13622518010653206
YDR225W,0.21245856303359817
YBL002W,0.13605567131171994
YBL003C,0.21291163295212476
YBR009C,0.13662487082025238
YNL031C,0.13679571202721902
